Month,AvgSunspotCount
01/01/1749,97
02/01/1749,104
03/01/1749,117
04/01/1749,93
05/01/1749,142
06/01/1749,139
07/01/1749,158
8/01/1749,111
9/01/1749,127
10/01/1749,126
11/01/1749,264
12/01/1749,142
1/01/1750,122
2/01/1750,127
3/01/1750,149
4/01/1750,147
5/01/1750,150
6/01/1750,167
7/01/1750,142
8/01/1750,172
9/01/1750,152
10/01/1750,110
11/01/1750,106
12/01/1750,126
1/01/1751,117
2/01/1751,73
3/01/1751,76
4/01/1751,94
5/01/1751,101
6/01/1751,85
7/01/1751,111
8/01/1751,100
9/01/1751,39
10/01/1751,39
11/01/1751,48
12/01/1751,73
1/01/1752,58
2/01/1752,83
3/01/1752,118
4/01/1752,99
5/01/1752,100
6/01/1752,66
7/01/1752,131
8/01/1752,49
9/01/1752,45
10/01/1752,78
11/01/1752,63
12/01/1752,67
1/01/1753,73
2/01/1753,53
3/01/1753,76
4/01/1753,63
5/01/1753,60
6/01/1753,53
7/01/1753,37
8/01/1753,65
9/01/1753,47
10/01/1753,42
11/01/1753,33
12/01/1753,11
1/01/1754,0
2/01/1754,5
3/01/1754,3
4/01/1754,23
5/01/1754,35
6/01/1754,45
7/01/1754,31
8/01/1754,21
9/01/1754,14
10/01/1754,40
11/01/1754,22
12/01/1754,7
1/01/1755,17
2/01/1755,19
3/01/1755,11
4/01/1755,11
5/01/1755,0
6/01/1755,0
7/01/1755,14
8/01/1755,5
9/01/1755,30
10/01/1755,40
11/01/1755,11
12/01/1755,33
1/01/1756,21
2/01/1756,12
3/01/1756,9
4/01/1756,16
5/01/1756,21
6/01/1756,22
7/01/1756,6
8/01/1756,11
9/01/1756,20
10/01/1756,24
11/01/1756,28
12/01/1756,16
1/01/1757,24
2/01/1757,35
3/01/1757,44
4/01/1757,50
5/01/1757,64
6/01/1757,21
7/01/1757,42
8/01/1757,86
9/01/1757,66
10/01/1757,54
11/01/1757,108
12/01/1757,56
1/01/1758,63
2/01/1758,87
3/01/1758,82
4/01/1758,121
5/01/1758,77
6/01/1758,75
7/01/1758,73
8/01/1758,65
9/01/1758,104
10/01/1758,63
11/01/1758,72
12/01/1758,72
1/01/1759,81
2/01/1759,73
3/01/1759,78
4/01/1759,78
5/01/1759,82
6/01/1759,83
7/01/1759,85
8/01/1759,119
9/01/1759,129
10/01/1759,100
11/01/1759,77
12/01/1759,95
1/01/1760,112
2/01/1760,99
3/01/1760,125
4/01/1760,97
5/01/1760,120
6/01/1760,81
7/01/1760,110
8/01/1760,126
9/01/1760,102
10/01/1760,84
11/01/1760,100
12/01/1760,102
1/01/1761,117
2/01/1761,152
3/01/1761,135
4/01/1761,120
5/01/1761,179
6/01/1761,166
7/01/1761,157
8/01/1761,152
9/01/1761,168
10/01/1761,148
11/01/1761,150
12/01/1761,77
1/01/1762,73
2/01/1762,121
3/01/1762,76
4/01/1762,100
5/01/1762,67
6/01/1762,129
7/01/1762,56
8/01/1762,113
9/01/1762,114
10/01/1762,116
11/01/1762,130
12/01/1762,129
1/01/1763,94
2/01/1763,53
3/01/1763,57
4/01/1763,55
5/01/1763,55
6/01/1763,60
7/01/1763,90
8/01/1763,44
9/01/1763,114
10/01/1763,77
11/01/1763,102
12/01/1763,102
1/01/1764,100
2/01/1764,100
3/01/1764,67
4/01/1764,57
5/01/1764,74
6/01/1764,50
7/01/1764,50
8/01/1764,50
9/01/1764,47
10/01/1764,47
11/01/1764,43
12/01/1764,43
1/01/1765,40
2/01/1765,43
3/01/1765,42
4/01/1765,37
5/01/1765,34
6/01/1765,33
7/01/1765,45
8/01/1765,50
9/01/1765,27
10/01/1765,23
11/01/1765,23
12/01/1765,22
1/01/1766,20
2/01/1766,18
3/01/1766,61
4/01/1766,10
5/01/1766,45
6/01/1766,5
7/01/1766,6
8/01/1766,7
9/01/1766,7
10/01/1766,8
11/01/1766,10
12/01/1766,32
1/01/1767,46
2/01/1767,50
3/01/1767,72
4/01/1767,55
5/01/1767,50
6/01/1767,56
7/01/1767,37
8/01/1767,68
9/01/1767,71
10/01/1767,74
11/01/1767,91
12/01/1767,89
1/01/1768,89
2/01/1768,110
3/01/1768,77
4/01/1768,71
5/01/1768,130
6/01/1768,129
7/01/1768,88
8/01/1768,111
9/01/1768,125
10/01/1768,130
11/01/1768,151
12/01/1768,186
1/01/1769,123
2/01/1769,107
3/01/1769,107
4/01/1769,161
5/01/1769,123
6/01/1769,157
7/01/1769,198
8/01/1769,201
9/01/1769,248
10/01/1769,264
11/01/1769,247
12/01/1769,187
1/01/1770,173
2/01/1770,238
3/01/1770,134
4/01/1770,85
5/01/1770,117
6/01/1770,139
7/01/1770,183
8/01/1770,211
9/01/1770,174
10/01/1770,173
11/01/1770,220
12/01/1770,171
1/01/1771,60
2/01/1771,77
3/01/1771,78
4/01/1771,108
5/01/1771,255
6/01/1771,199
7/01/1771,113
8/01/1771,98
9/01/1771,169
10/01/1771,150
11/01/1771,166
12/01/1771,160
1/01/1772,168
2/01/1772,151
3/01/1772,52
4/01/1772,154
5/01/1772,63
6/01/1772,95
7/01/1772,129
8/01/1772,94
9/01/1772,84
10/01/1772,131
11/01/1772,102
12/01/1772,107
1/01/1773,91
2/01/1773,48
3/01/1773,85
4/01/1773,55
5/01/1773,69
6/01/1773,47
7/01/1773,46
8/01/1773,21
9/01/1773,49
10/01/1773,44
11/01/1773,68
12/01/1773,72
1/01/1774,78
2/01/1774,109
3/01/1774,93
4/01/1774,73
5/01/1774,86
6/01/1774,48
7/01/1774,29
8/01/1774,11
9/01/1774,13
10/01/1774,23
11/01/1774,30
12/01/1774,20
1/01/1775,7
2/01/1775,0
3/01/1775,19
4/01/1775,19
5/01/1775,7
6/01/1775,21
7/01/1775,2
8/01/1775,13
9/01/1775,5
10/01/1775,9
11/01/1775,25
12/01/1775,13
1/01/1776,36
2/01/1776,19
3/01/1776,11
4/01/1776,36
5/01/1776,19
6/01/1776,32
7/01/1776,2
8/01/1776,40
9/01/1776,27
10/01/1776,50
11/01/1776,58
12/01/1776,67
1/01/1777,75
2/01/1777,61
3/01/1777,65
4/01/1777,159
5/01/1777,134
6/01/1777,135
7/01/1777,158
8/01/1777,187
9/01/1777,194
10/01/1777,178
11/01/1777,243
12/01/1777,262
1/01/1778,296
2/01/1778,182
3/01/1778,223
4/01/1778,242
5/01/1778,398
6/01/1778,286
7/01/1778,255
8/01/1778,233
9/01/1778,286
10/01/1778,261
11/01/1778,251
12/01/1778,175
1/01/1779,191
2/01/1779,276
3/01/1779,197
4/01/1779,242
5/01/1779,233
6/01/1779,190
7/01/1779,238
8/01/1779,187
9/01/1779,185
10/01/1779,207
11/01/1779,190
12/01/1779,183
1/01/1780,117
2/01/1780,163
3/01/1780,163
4/01/1780,158
5/01/1780,179
6/01/1780,147
7/01/1780,143
8/01/1780,143
9/01/1780,156
10/01/1780,128
11/01/1780,100
12/01/1780,98
1/01/1781,165
2/01/1781,125
3/01/1781,88
4/01/1781,114
5/01/1781,175
6/01/1781,163
7/01/1781,123
8/01/1781,110
9/01/1781,85
10/01/1781,46
11/01/1781,112
12/01/1781,59
1/01/1782,90
2/01/1782,63
3/01/1782,62
4/01/1782,68
5/01/1782,91
6/01/1782,63
7/01/1782,62
8/01/1782,73
9/01/1782,57
10/01/1782,39
11/01/1782,53
12/01/1782,50
1/01/1783,47
2/01/1783,65
3/01/1783,45
4/01/1783,47
5/01/1783,38
6/01/1783,42
7/01/1783,54
8/01/1783,33
9/01/1783,30
10/01/1783,13
11/01/1783,25
12/01/1783,18
1/01/1784,22
2/01/1784,13
3/01/1784,18
4/01/1784,17
5/01/1784,10
6/01/1784,15
7/01/1784,10
8/01/1784,17
9/01/1784,17
10/01/1784,13
11/01/1784,28
12/01/1784,23
1/01/1785,11
2/01/1785,13
3/01/1785,15
4/01/1785,26
5/01/1785,35
6/01/1785,44
7/01/1785,61
8/01/1785,33
9/01/1785,53
10/01/1785,79
11/01/1785,67
12/01/1785,46
1/01/1786,62
2/01/1786,79
3/01/1786,80
4/01/1786,142
5/01/1786,154
6/01/1786,98
7/01/1786,138
8/01/1786,150
9/01/1786,186
10/01/1786,187
11/01/1786,193
12/01/1786,188
1/01/1787,225
2/01/1787,177
3/01/1787,146
4/01/1787,212
5/01/1787,225
6/01/1787,165
7/01/1787,213
8/01/1787,229
9/01/1787,262
10/01/1787,262
11/01/1787,236
12/01/1787,290
1/01/1788,230
2/01/1788,215
3/01/1788,239
4/01/1788,181
5/01/1788,188
6/01/1788,257
7/01/1788,236
8/01/1788,227
9/01/1788,235
10/01/1788,237
11/01/1788,158
12/01/1788,216
1/01/1789,190
2/01/1789,209
3/01/1789,200
4/01/1789,206
5/01/1789,206
6/01/1789,200
7/01/1789,195
8/01/1789,172
9/01/1789,187
10/01/1789,150
11/01/1789,223
12/01/1789,226
1/01/1790,172
2/01/1790,213
3/01/1790,161
4/01/1790,157
5/01/1790,155
6/01/1790,152
7/01/1790,116
8/01/1790,145
9/01/1790,129
10/01/1790,141
11/01/1790,137
12/01/1790,123
1/01/1791,121
2/01/1791,103
3/01/1791,123
4/01/1791,129
5/01/1791,123
6/01/1791,107
7/01/1791,118
8/01/1791,72
9/01/1791,111
10/01/1791,103
11/01/1791,112
12/01/1791,110
1/01/1792,97
2/01/1792,107
3/01/1792,105
4/01/1792,126
5/01/1792,103
6/01/1792,102
7/01/1792,76
8/01/1792,100
9/01/1792,98
10/01/1792,98
11/01/1792,95
12/01/1792,93
1/01/1793,93
2/01/1793,92
3/01/1793,93
4/01/1793,88
5/01/1793,87
6/01/1793,85
7/01/1793,83
8/01/1793,49
9/01/1793,40
10/01/1793,78
11/01/1793,73
12/01/1793,76
1/01/1794,75
2/01/1794,73
3/01/1794,63
4/01/1794,47
5/01/1794,93
6/01/1794,69
7/01/1794,68
8/01/1794,67
9/01/1794,19
10/01/1794,48
11/01/1794,112
12/01/1794,86
1/01/1795,36
2/01/1795,67
3/01/1795,21
4/01/1795,31
5/01/1795,52
6/01/1795,29
7/01/1795,22
8/01/1795,43
9/01/1795,23
10/01/1795,33
11/01/1795,42
12/01/1795,30
1/01/1796,37
2/01/1796,40
3/01/1796,26
4/01/1796,53
5/01/1796,35
6/01/1796,11
7/01/1796,45
8/01/1796,3
9/01/1796,31
10/01/1796,18
11/01/1796,14
12/01/1796,9
1/01/1797,24
2/01/1797,7
3/01/1797,7
4/01/1797,7
5/01/1797,12
6/01/1797,19
7/01/1797,7
8/01/1797,10
9/01/1797,10
10/01/1797,12
11/01/1797,10
12/01/1797,5
1/01/1798,3
2/01/1798,7
3/01/1798,21
4/01/1798,2
5/01/1798,0
6/01/1798,0
7/01/1798,0
8/01/1798,5
9/01/1798,4
10/01/1798,3
11/01/1798,21
12/01/1798,17
1/01/1799,3
2/01/1799,21
3/01/1799,36
4/01/1799,14
5/01/1799,14
6/01/1799,18
7/01/1799,4
8/01/1799,0
9/01/1799,0
10/01/1799,8
11/01/1799,5
12/01/1799,14
1/01/1800,12
2/01/1800,16
3/01/1800,23
4/01/1800,0
5/01/1800,8
6/01/1800,40
7/01/1800,35
8/01/1800,33
9/01/1800,19
10/01/1800,21
11/01/1800,18
12/01/1800,67
1/01/1801,45
2/01/1801,48
3/01/1801,50
4/01/1801,52
5/01/1801,53
6/01/1801,52
7/01/1801,58
8/01/1801,65
9/01/1801,56
10/01/1801,54
11/01/1801,66
12/01/1801,80
1/01/1802,80
2/01/1802,78
3/01/1802,68
4/01/1802,70
5/01/1802,73
6/01/1802,77
7/01/1802,80
8/01/1802,83
9/01/1802,86
10/01/1802,64
11/01/1802,58
12/01/1802,83
1/01/1803,83
2/01/1803,85
3/01/1803,49
4/01/1803,42
5/01/1803,74
6/01/1803,60
7/01/1803,81
8/01/1803,57
9/01/1803,76
10/01/1803,91
11/01/1803,85
12/01/1803,80
1/01/1804,76
2/01/1804,81
3/01/1804,80
4/01/1804,84
5/01/1804,56
6/01/1804,58
7/01/1804,50
8/01/1804,72
9/01/1804,88
10/01/1804,104
11/01/1804,102
12/01/1804,100
1/01/1805,102
2/01/1805,74
3/01/1805,86
4/01/1805,63
5/01/1805,65
6/01/1805,68
7/01/1805,63
8/01/1805,71
9/01/1805,74
10/01/1805,49
11/01/1805,68
12/01/1805,64
1/01/1806,65
2/01/1806,49
3/01/1806,55
4/01/1806,46
5/01/1806,44
6/01/1806,43
7/01/1806,50
8/01/1806,44
9/01/1806,40
10/01/1806,45
11/01/1806,42
12/01/1806,40
1/01/1807,20
2/01/1807,20
3/01/1807,16
4/01/1807,40
5/01/1807,17
6/01/1807,20
7/01/1807,21
8/01/1807,20
9/01/1807,10
10/01/1807,13
11/01/1807,4
12/01/1807,0
1/01/1808,0
2/01/1808,8
3/01/1808,0
4/01/1808,21
5/01/1808,23
6/01/1808,23
7/01/1808,11
8/01/1808,13
9/01/1808,20
10/01/1808,8
11/01/1808,18
12/01/1808,21
1/01/1809,12
2/01/1809,15
3/01/1809,2
4/01/1809,4
5/01/1809,3
6/01/1809,13
7/01/1809,1
8/01/1809,0
9/01/1809,1
10/01/1809,0
11/01/1809,0
12/01/1809,0
1/01/1810,0
2/01/1810,0
3/01/1810,0
4/01/1810,0
5/01/1810,0
6/01/1810,0
7/01/1810,0
8/01/1810,0
9/01/1810,0
10/01/1810,0
11/01/1810,0
12/01/1810,0
1/01/1811,0
2/01/1811,0
3/01/1811,0
4/01/1811,0
5/01/1811,0
6/01/1811,0
7/01/1811,11
8/01/1811,0
9/01/1811,4
10/01/1811,10
11/01/1811,1
12/01/1811,2
1/01/1812,19
2/01/1812,3
3/01/1812,1
4/01/1812,0
5/01/1812,2
6/01/1812,2
7/01/1812,1
8/01/1812,26
9/01/1812,9
10/01/1812,7
11/01/1812,13
12/01/1812,17
1/01/1813,0
2/01/1813,17
3/01/1813,3
4/01/1813,28
5/01/1813,9
6/01/1813,19
